"AgentCount","RedAgentPercentage","HawkPortion","PayoffReward","PayoffCost","AvgSeparationWhenOccured","EarliestRoundSeparation","LatestRoundOfSeparation","RunWhereSeparationOccured","ChanceOfSeparation","RunsWhereRedDominated","ChanceOfRedDominance"
"100","10","0.1","10","100","3.7","0","9","10","1","9","0.9"
"100","10","0.2","10","50","6.3","0","14","10","1","9","0.9"
"100","10","0.30000000000000004","10","33.33333333333333","11.5","0","25","10","1","10","1"
"100","10","0.4","10","25","18.5","0","61","10","1","7","0.7"
"100","10","0.5","10","20","32.5","8","85","10","1","3","0.3"
"100","10","0.6","10","16.666666666666668","33.2","18","90","10","1","3","0.3"
"100","10","0.7000000000000001","10","14.285714285714285","26.4","19","35","10","1","0","0"
"100","10","0.8","10","12.5","23.7","14","38","10","1","0","0"
"100","10","0.9","10","11.11111111111111","14","1","25","10","1","2","0.2"
"100","30","0.1","10","100","8.5","0","12","10","1","10","1"
"100","30","0.2","10","50","14","6","23","10","1","10","1"
"100","30","0.30000000000000004","10","33.33333333333333","19.7","8","35","10","1","9","0.9"
"100","30","0.4","10","25","31.5","14","63","10","1","8","0.8"
"100","30","0.5","10","20","35.2","23","50","10","1","4","0.4"
"100","30","0.6","10","16.666666666666668","45","20","98","10","1","4","0.4"
"100","30","0.7000000000000001","10","14.285714285714285","38.7","21","66","10","1","0","0"
"100","30","0.8","10","12.5","33.5","17","44","10","1","0","0"
"100","30","0.9","10","11.11111111111111","64.8","43","81","10","1","0","0"
"100","50","0.1","10","100","23.2","11","38","10","1","4","0.4"
"100","50","0.2","10","50","29","10","76","10","1","4","0.4"
"100","50","0.30000000000000004","10","33.33333333333333","25.9","17","40","10","1","5","0.5"
"100","50","0.4","10","25","36.7","21","62","10","1","5","0.5"
"100","50","0.5","10","20","37.5","18","113","10","1","4","0.4"
"100","50","0.6","10","16.666666666666668","40.3","16","60","10","1","7","0.7"
"100","50","0.7000000000000001","10","14.285714285714285","45.7","22","97","10","1","4","0.4"
"100","50","0.8","10","12.5","60","42","102","10","1","1","0.1"
"100","50","0.9","10","11.11111111111111","90","62","126","7","0.7","4","0.4"
